date,rank,song,artist
1969-04-19,1,Don't Pass Me By,The Beatles
1969-04-26,1,Casatschok,Birthe Kjær
1969-05-10,1,Get Back,The Beatles with Billy Preston
1969-05-16,1,Get Back,The Beatles with Billy Preston
1969-05-24,1,Get Back,The Beatles with Billy Preston
1969-06-06,1,The Ballad of John and Yoko,The Beatles
1969-06-14,1,The Ballad of John and Yoko,The Beatles
1969-06-21,1,The Ballad of John and Yoko,The Beatles
1969-06-26,1,The Ballad of John and Yoko,The Beatles
1969-07-03,1,Tomorrow Tomorrow,Bee Gees
1969-07-10,1,Tomorrow Tomorrow,Bee Gees
1969-07-17,1,The Ballad of John and Yoko,The Beatles
1969-07-24,1,The Ballad of John and Yoko,The Beatles
1969-07-31,1,Honky Tonk Women,The Rolling Stones
1969-08-07,1,Honky Tonk Women,The Rolling Stones
1969-08-14,1,Saved by the Bell,Robin Gibb
1969-08-21,1,Saved by the Bell,Robin Gibb
1969-08-28,1,Saved by the Bell,Robin Gibb
1969-09-04,1,Je t'aime... moi non plus,Serge Gainsbourg and Jane Birkin
1969-09-11,1,Je t'aime... moi non plus,Serge Gainsbourg and Jane Birkin
1969-09-18,1,Je t'aime... moi non plus,Serge Gainsbourg and Jane Birkin
1969-09-25,1,Je t'aime... moi non plus,Serge Gainsbourg and Jane Birkin
1969-10-02,1,Je t'aime... moi non plus,Serge Gainsbourg and Jane Birkin
1969-10-09,1,Je t'aime... moi non plus,Serge Gainsbourg and Jane Birkin
1969-10-16,1,Je t'aime... moi non plus,Serge Gainsbourg and Jane Birkin
1969-10-24,1,Je t'aime... moi non plus,Serge Gainsbourg and Jane Birkin
1969-10-30,1,"Sugar, Sugar",The Archies
1969-11-06,1,"Sugar, Sugar",The Archies
1969-11-14,1,"Sugar, Sugar",The Archies
1969-11-21,1,"Sugar, Sugar",The Archies
1969-11-27,1,"Sugar, Sugar",The Archies
1969-12-06,1,"Sugar, Sugar",The Archies
1969-12-12,1,"Sugar, Sugar",The Archies
1969-12-18,1,"Sugar, Sugar",The Archies
1970-01-15,1,Här kommer Pippi Långstrump,Inger Nilsson
1970-01-22,1,Här kommer Pippi Långstrump,Inger Nilsson
1970-01-29,1,Här kommer Pippi Långstrump,Inger Nilsson
1970-02-05,1,Här kommer Pippi Långstrump,Inger Nilsson
1970-02-12,1,Här kommer Pippi Långstrump,Inger Nilsson
